Name,Gender,Job,House,Wand,Patronus,Species,Blood status,Hair colour,Eye colour,Loyalty,Skills,Birth,Death
Harry James Potter,Male,Student,Gryffindor,"11""  Holly  phoenix feather",Stag,Human,Half-blood,Black,Bright green,Albus Dumbledore | Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Parseltongue| Defence Against the Dark Arts | Seeker,"Thursday, July 31, 1980",
Ronald Bilius Weasley,Male,Student,Gryffindor,"12"" Ash unicorn tail hair ",Jack Russell terrier,Human,Pure-blood,Red,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Wizard chess | Quidditch goalkeeping,"Saturday, March 1, 1980",
Hermione Jean Granger,Female,Student,Gryffindor,"10¾""  vine wood dragon heartstring",Otter,Human,Muggle-born,Brown,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Almost everything,"19 September, 1979",
Albus Percival Wulfric Brian Dumbledore,Male,Headmaster,Gryffindor,"15"" Elder Thestral tail hair core",Phoenix,Human,Half-blood,Silver| formerly auburn,Blue,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Considered by many to be one of the most powerful wizards of his time,Late August 1881,"30 June, 1997 "
Rubeus Hagrid,Male,Keeper of Keys and Grounds | Professor of Care of Magical Creatures ,Gryffindor,"16""  Oak unknown core",None,Half-Human/Half-Giant,Part-Human,Black,Black,Albus Dumbledore | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Resistant to stunning spells| above average strength | crossbowmanship,6 December 1928,
Neville Longbottom,Male,Student,Gryffindor,"13"" Cherry unicorn hair",Non-corporeal,Human,Pure-blood,Blond,,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Herbology,"30 July, 1980",
Fred Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater,"1 April, 1978 ","2 May, 1998"
George Weasley,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Beater," 1 April, 1978 ",
Ginevra (Ginny) Molly Weasley,Female,Student,Gryffindor,Unknown,Horse,Human,Pure-blood,Red,Bright brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Chaser| Bat-Bogey hex,"11 August, 1981",
Dean Thomas,Male,Student,Gryffindor,Unknown,Unknown,Human,Muggle-born,Black,Brown,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Chaser, 1 September 1979- 31 August 1980,
Seamus Finnigan,Male,Student,Gryffindor,Unknown,Fox,Human,Half-blood,Sandy,,Dumbledore's Army | Hogwarts School of Witchcraft and Wizardry,Pyrotechnics, 1 September 1979- 31 August 1981,
Lily J. Potter,Female,,Gryffindor,"10¼""  Willow  unknown core",Doe,Human,Muggle-born,Auburn,Bright green,Order of the Phoenix,,"30 January, 1960 ","31 October, 1981"
James Potter,Male,,Gryffindor,"11""  Mahogany  unknown core",Stag,Human,Pure-blood,Black,Hazel,Order of the Phoenix,Animagus| Seeker,"27 March, 1960","31 October, 1981"
Sirius Black,Male,,Gryffindor,Unknown,Unknown,Human,Pure-blood,Black,Grey,Order of the Phoenix,Animagus| nonverbal magic| Charms,"3 November, 1959","18 June, 1996"
Remus John Lupin,Male,Professor of Defence Against the Dark Arts ,Gryffindor,"10¼"" Cypress unicorn hair",Wolf,Werewolf,Half-blood,Light brown flecked with grey,Green,Order of the Phoenix,Exceptionally gifted in Defence Against the Dark Arts,"10 March, 1960","2 May, 1998"
Peter Pettigrew,Male,The Servant of Lord Voldemort,Gryffindor,"9¼"" Chestnut dragon heartstring",None,Human,Pure-blood or half-blood,Colourless and balding,Blue,Lord Voldemort| Death Eaters,Animagus,1 September 1959- 31 August 1960,Late March 1998
Percy Ignatius Weasley,Male,Student|Prefect|  Personal assistant to Barty Crouch Snr ,Gryffindor,Unknown,Unknown,Human,Pure-blood,Red,Blue,Order of the Phoenix| Hogwarts School of Witchcraft and Wizardry |British Ministry of Magic,Intelligent| hard-working| a model student,"22 August, 1976 ",
(Bill) William Arthur Weasley,Male,Curse-Breaker for Gringotts Bank,Gryffindor,Unknown,Unknown,Human (Werewolf traits),Pure-blood,Red,Blue,Order of the Phoenix,Highly skilled curse-breaker for Gringotts Wizarding Bank| very intelligent| past Hogwarts Head Boy,"29 November, 1970",
Charles Weasley,Male,Dragonologist,Gryffindor,"12""  Ash unicorn tail hair",Unknown,Human,Pure-blood,Red,Grey,Order of the Phoenix | Gringotts Wizarding Bank,Highly skilled dragon trainer| one-time Gryffindor Seeker,"12 December, 1972",
Lee Jordan ,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Black,Brown,Dumbledore's Army | Order of the Phoenix | Hogwarts School of Witchcraft and Wizardry,Quidditch commentary | broadcasting, 1 September 1977- 31 August 1978,
Oliver Wood,Male,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,,,Hogwarts School of Witchcraft and Wizardry,Keeper|  Captain of the Gryffindor Quidditch team, October 1975 - 31 August 1976,
Angelina Johnson,Female,Student,Gryffindor,Unknown,Unknown,Human,Unknown,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,"24 – 30 October, 1977",
Katie Bell,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser, 1 September 1978- 31 August 1979,
Alicia Spinnet,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Brown,Brown,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Chaser,1 September 1977- 31 August 1978,
Lavender Brown,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood,Blond,Blue,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination, 1 September 1979- 31 August 1980,"2 May, 1998"
Parvati Patil,Female,Student,Gryffindor,Unknown,Unknown,Human,Pure-blood or half-blood,Dark,Dark,Dumbledore's Army |Hogwarts School of Witchcraft and Wizardry,Divination, 1 September 1979- 21 April 1980,
